Subclass	Min	Max	Mean	Median
Very Small VLDL	1.99e-09	0.0317	0.00968	0.0081
Small VLDL	2.75e-09	0.0643	0.0198	0.0126
Medium VLDL	2.49e-09	0.0981	0.0294	0.0182
Large VLDL	9.12e-10	0.0623	0.0185	0.0111
Very large VLDL	1.39e-10	0.0158	0.00467	0.00239
Extremely large VLDL	2.3e-11	0.00576	0.00167	0.00069
IDL	3.28e-09	0.0493	0.015	0.00768
Small LDL	5e-09	0.023	0.00716	0.00414
Medium LDL	4.88e-09	0.039	0.0124	0.0073
Large LDL	5.54e-09	0.0609	0.0191	0.0097
Small HDL	-0.00192	0.0113	0.00231	0.00203
Medium HDL	-0.0244	0.0032	-0.00842	-0.0102
Large HDL	-0.105	-1.47e-07	-0.0366	-0.0406
Very large HDL	-0.0559	-4.86e-08	-0.0182	-0.0146
Lipoprotein particle size	-0.0861	0.425	0.103	-0.0136
Ketone bodies	-0.00567	-0.00062	-0.00254	-0.00196
Glycolysis related metabolites	-0.005	0.0735	0.0351	0.0415
Glycerides and phospholipids	-0.00453	0.157	0.0408	0.00545
Fluid balance	-0.00138	2.57e-05	-0.000509	-0.000389
Fatty acids	-0.0097	0.45	0.096	0.0598
Cholesterol	-0.0941	0.114	0.0245	0.0524
Apolipoproteins	-0.0367	0.0575	0.0212	0.0434
Branched-chain amino acids	0.00319	0.00861	0.00463	0.00394
Aromatic amino acids	0.000833	0.00299	0.00184	0.00178
Amino acids	-0.0112	0.00749	-0.000513	-0.000104
