metabolite	raw.label	class	subclass	label	label.no.units
xxlvldlplpct	Phospholipids to total lipids ratio in chylomicrons and XXL VLDL (%) 	Ratios	Ratios	NA	Phospholipids to total lipids ratio in chylomicrons and XXL VLDL  
xxlvldlcpct	Total cholesterol to total lipids ratio in chylomicrons and XXL VLDL (%) 	Ratios	Ratios	NA	Total cholesterol to total lipids ratio in chylomicrons and XXL VLDL  
xxlvldlcepct	Cholesterol esters to total lipids ratio in chylomicrons and XXL VLDL (%) 	Ratios	Ratios	NA	Cholesterol esters to total lipids ratio in chylomicrons and XXL VLDL  
xxlvldlfcpct	Free cholesterol to total lipids ratio in chylomicrons and XXL VLDL (%) 	Ratios	Ratios	NA	Free cholesterol to total lipids ratio in chylomicrons and XXL VLDL  
xxlvldltgpct	Triglycerides to total lipids ratio in chylomicrons and XXL VLDL (%) 	Ratios	Ratios	NA	Triglycerides to total lipids ratio in chylomicrons and XXL VLDL  
xlvldlplpct	Phospholipids to total lipids ratio in very large VLDL (%) 	Ratios	Ratios	NA	Phospholipids to total lipids ratio in very large VLDL  
xlvldlcpct	Total cholesterol to total lipids ratio in very large VLDL (%) 	Ratios	Ratios	NA	Total cholesterol to total lipids ratio in very large VLDL  
xlvldlcepct	Cholesterol esters to total lipids ratio in very large VLDL (%) 	Ratios	Ratios	NA	Cholesterol esters to total lipids ratio in very large VLDL  
xlvldlfcpct	Free cholesterol to total lipids ratio in very large VLDL (%) 	Ratios	Ratios	NA	Free cholesterol to total lipids ratio in very large VLDL  
xlvldltgpct	Triglycerides to total lipids ratio in very large VLDL (%) 	Ratios	Ratios	NA	Triglycerides to total lipids ratio in very large VLDL  
lvldlplpct	Phospholipids to total lipids ratio in large VLDL (%) 	Ratios	Ratios	NA	Phospholipids to total lipids ratio in large VLDL  
lvldlcpct	Total cholesterol to total lipids ratio in large VLDL (%) 	Ratios	Ratios	NA	Total cholesterol to total lipids ratio in large VLDL  
lvldlcepct	Cholesterol esters to total lipids ratio in large VLDL (%) 	Ratios	Ratios	NA	Cholesterol esters to total lipids ratio in large VLDL  
lvldlfcpct	Free cholesterol to total lipids ratio in large VLDL (%) 	Ratios	Ratios	NA	Free cholesterol to total lipids ratio in large VLDL  
lvldltgpct	Triglycerides to total lipids ratio in large VLDL (%) 	Ratios	Ratios	NA	Triglycerides to total lipids ratio in large VLDL  
mvldlplpct	Phospholipids to total lipids ratio in medium VLDL (%) 	Ratios	Ratios	NA	Phospholipids to total lipids ratio in medium VLDL  
mvldlcpct	Total cholesterol to total lipids ratio in medium VLDL (%) 	Ratios	Ratios	NA	Total cholesterol to total lipids ratio in medium VLDL  
mvldlcepct	Cholesterol esters to total lipids ratio in medium VLDL (%) 	Ratios	Ratios	NA	Cholesterol esters to total lipids ratio in medium VLDL  
mvldlfcpct	Free cholesterol to total lipids ratio in medium VLDL (%) 	Ratios	Ratios	NA	Free cholesterol to total lipids ratio in medium VLDL  
mvldltgpct	Triglycerides to total lipids ratio in medium VLDL (%) 	Ratios	Ratios	NA	Triglycerides to total lipids ratio in medium VLDL  
svldlplpct	Phospholipids to total lipids ratio in small VLDL (%) 	Ratios	Ratios	NA	Phospholipids to total lipids ratio in small VLDL  
svldlcpct	Total cholesterol to total lipids ratio in small VLDL (%) 	Ratios	Ratios	NA	Total cholesterol to total lipids ratio in small VLDL  
svldlcepct	Cholesterol esters to total lipids ratio in small VLDL (%) 	Ratios	Ratios	NA	Cholesterol esters to total lipids ratio in small VLDL  
svldlfcpct	Free cholesterol to total lipids ratio in small VLDL (%) 	Ratios	Ratios	NA	Free cholesterol to total lipids ratio in small VLDL  
svldltgpct	Triglycerides to total lipids ratio in small VLDL (%) 	Ratios	Ratios	NA	Triglycerides to total lipids ratio in small VLDL  
xsvldlplpct	Phospholipids to total lipids ratio in very small VLDL (%) 	Ratios	Ratios	NA	Phospholipids to total lipids ratio in very small VLDL  
xsvldlcpct	Total cholesterol to total lipids ratio in very small VLDL (%) 	Ratios	Ratios	NA	Total cholesterol to total lipids ratio in very small VLDL  
xsvldlcepct	Cholesterol esters to total lipids ratio in very small VLDL (% 	Ratios	Ratios	NA	Cholesterol esters to total lipids ratio in very small VLDL (% 
xsvldlfcpct	Free cholesterol to total lipids ratio in very small VLDL (%) 	Ratios	Ratios	NA	Free cholesterol to total lipids ratio in very small VLDL  
xsvldltgpct	Triglycerides to total lipids ratio in very small VLDL (%) 	Ratios	Ratios	NA	Triglycerides to total lipids ratio in very small VLDL  
idlplpct	Phospholipids to total lipids ratio in IDL (%) 	Ratios	Ratios	NA	Phospholipids to total lipids ratio in IDL  
idlcpct	Total cholesterol to total lipids ratio in IDL (%) 	Ratios	Ratios	NA	Total cholesterol to total lipids ratio in IDL  
idlcepct	Cholesterol esters to total lipids ratio in IDL (%)	Ratios	Ratios	NA	Cholesterol esters to total lipids ratio in IDL 
idlfcpct	Free cholesterol to total lipids ratio in IDL (%) 	Ratios	Ratios	NA	Free cholesterol to total lipids ratio in IDL  
idltgpct	Triglycerides to total lipids ratio in IDL (%)	Ratios	Ratios	NA	Triglycerides to total lipids ratio in IDL 
lldlplpct	Phospholipids to total lipids ratio in large LDL (%)	Ratios	Ratios	NA	Phospholipids to total lipids ratio in large LDL 
lldlcpct	Total cholesterol to total lipids ratio in large LDL (%) 	Ratios	Ratios	NA	Total cholesterol to total lipids ratio in large LDL  
lldlcepct	Cholesterol esters to total lipids ratio in large LDL (%) 	Ratios	Ratios	NA	Cholesterol esters to total lipids ratio in large LDL  
lldlfcpct	Free cholesterol to total lipids ratio in large LDL (%) 	Ratios	Ratios	NA	Free cholesterol to total lipids ratio in large LDL  
lldltgpct	Triglycerides to total lipids ratio in large LDL (%) 	Ratios	Ratios	NA	Triglycerides to total lipids ratio in large LDL  
mldlplpct	Phospholipids to total lipids ratio in medium LDL (%) 	Ratios	Ratios	NA	Phospholipids to total lipids ratio in medium LDL  
mldlcpct	Total cholesterol to total lipids ratio in medium LDL (%) 	Ratios	Ratios	NA	Total cholesterol to total lipids ratio in medium LDL  
mldlcepct	Cholesterol esters to total lipids ratio in medium LDL (%) 	Ratios	Ratios	NA	Cholesterol esters to total lipids ratio in medium LDL  
mldlfcpct	Free cholesterol to total lipids ratio in medium LDL (%) 	Ratios	Ratios	NA	Free cholesterol to total lipids ratio in medium LDL  
mldltgpct	Triglycerides to total lipids ratio in medium LDL (%) 	Ratios	Ratios	NA	Triglycerides to total lipids ratio in medium LDL  
sldlplpct	Phospholipids to total lipids ratio in small LDL (%)	Ratios	Ratios	NA	Phospholipids to total lipids ratio in small LDL 
sldlcpct	Total cholesterol to total lipids ratio in small LDL (%) 	Ratios	Ratios	NA	Total cholesterol to total lipids ratio in small LDL  
sldlcepct	Cholesterol esters to total lipids ratio in small LDL (%) 	Ratios	Ratios	NA	Cholesterol esters to total lipids ratio in small LDL  
