metabolite	Metabolite measure [unit]	Cross-__sectional association [beta (95% CI); P per kg/m2]				Causal effect estimate [beta (95% CI); P per kg/m2]			
		b	lower_ci	upper_ci	p	b	lower_ci	upper_ci	p
	log Extremely large VLDL [µmol/L]	1.87	1.77	1.97	9.00E-287	1.59	0.902	2.28	6.00E-06
	log Very large VLDL [µmol/L]	4.33	4.07	4.59	2.00E-231	3.62	2.06	5.19	5.00E-06
	log Large VLDL [µmol/L]	12.4	11.7	13	4.00E-294	9.5	5.21	13.8	1.00E-05
	log Medium VLDL [mmol/L]	0.0153	0.0142	0.0164	5.00E-163	0.0121	0.00693	0.0173	5.00E-06
	Small VLDL [mmol/L]	0.0194	0.0177	0.0211	3.00E-114	0.0138	0.00718	0.0203	4.00E-05
	Very small VLDL [mmol/L]	0.0102	0.0095	0.0109	1.00E-188	0.00732	0.00249	0.0121	0.003
	IDL [mmol/L]	0.0169	0.0152	0.0185	1.00E-90	0.0148	0.00514	0.0245	0.003
	Large LDL [mmol/L]	0.0221	0.202	0.024	6.00E-120	0.0207	0.00831	0.0332	0.001
	Medium LDL [mmol/L]	0.0153	0.0141	0.0164	4.00E-149	0.0144	0.00664	0.0222	0.0003
	Small LDL [mmol/L]	0.0118	0.011	0.0125	2.00E-202	0.0109	0.00572	0.0161	4.00E-05
	Very large HDL [mmol/L]	-0.00903	-0.0154	-0.00266	0.005	-0.0109	-0.0179	-0.00387	0.002
	Large HDL [mmol/L]	-0.0253	-0.027	-0.0236	4.00E-185	-0.0234	-0.0234	-0.0133	6.00E-06
	Medium HDL [mmol/L]	-0.00455	-0.00962	-0.000526	0.08	-0.00471	-0.0124	0.00295	0.22
	Small HDL [mmol/L]	0.00315	-0.00115	0.00745	0.1	0.00279	-0.00279	0.00837	0.33
vldld	VLDL particle size [nm]	0.0888	0.0832	0.0945	4.00E-206	0.0707	0.0319	0.11	0.0004
ldld	LDL particle size [nm]	-0.00494	-0.00596	-0.00392	2.00E-21	-0.0033	-0.00872	0.00212	0.23
hdld	HDL particle size [nm]	-0.0166	-0.0214	-0.0118	1.00E-11	-0.0177	-0.0246	-0.0107	6.00E-07
	Total cholesterol [mmol/L]	0.0415	0.0344	0.0486	3.00E-30	0.0318	-0.0025	0.066	0.07
	Non-_HDL cholesterol [mmol/L]	0.0612	0.0558	0.0667	3.00E-107	0.0515	0.022	0.0811	0.0006
vldlc	VLDL cholesterol [mmol/L]	0.0181	0.0165	0.0197	8.00E-110	0.0114	0.00398	0.0189	0.003
idlc	IDL cholesterol [mmol/L]	0.0089	0.00771	0.0101	7.00E-49	0.00794	0.00183	0.014	0.01
ldlc	LDL cholesterol [mmol/L]	0.0335	0.0306	0.0364	1.00E-116	0.032	0.0137	0.0503	0.0006
hdlc	HDL cholesterol [mmol/L]	-0.0202	-0.0218	-0.0186	3.00E-133	-0.0196	-0.0305	0.0086	0.0005
	Cholesterol esterification % [%]	0.0414	0.0223	0.0605	2.00E-05	-0.0943	-0.198	0.00916	0.07
apob	Apolipoprotein B [g/l]	0.0175	0.0159	0.0191	4.00E-100	0.0151	0.00812	0.0221	2.00E-05
apoa1	Apolipoprotein A1 [g/l]	-0.00546	-0.00686	-0.00406	2.00E-14	-0.00826	-0.016	-0.000503	0.04
	log Lipoprotein(a) [mg/L]	0.00219	-0.0236	0.028	0.9	0.00574	-0.0635	0.075	0.87
	log Triglycerides [mmol/L]	0.0204	0.0195	0.0214	1.00E-300	0.016	0.00947	0.0224	1.00E-06
totpg	Phosphoglycerides [mmol/L]	0.0104	0.00742	0.0133	5.00E-12	-0.00246	-0.0186	0.0137	0.77
pc	Phosphatidylcholines [mmol/L]	0.00571	0.00333	0.00809	3.00E-06	-0.00253	-0.0172	0.0121	0.74
sm	Sphingomyelin [mmol/L]	0.00311	0.00258	0.00365	3.00E-30	0.00402	0.000739	0.00729	0.02
totfa	Total fatty acids [mmol/L]	0.172	0.154	0.191	1.00E-71	0.114	0.0291	0.198	0.008
dha	Docosahexaenoic acid [mmol/L]	0.0017	0.00105	0.00236	4.00E-07	0.000986	-0.000991	0.00296	0.33
la	Linoleic acid [mmol/L]	0.0181	0.0125	0.0237	3.00E-10	0.0124	-0.00945	0.0342	0.27
faw3	n-__3 fatty acids [mmol/L]	0.00541	0.00392	0.00689	9.00E-13	0.00364	-0.000428	0.0077	0.08
faw3fa	n-__3 fatty acids [%]	-0.00487	-0.0113	0.00152	0.1	-0.00441	-0.0319	0.0231	0.75
faw6	n-__6 fatty acids [mmol/L]	0.0288	0.0213	0.0364	5.00E-14	0.0191	-0.00591	0.044	0.14
faw6fa	n-__6 fatty acids [%]	-0.237	-0.257	-0.217	1.00E-117	-0.146	-0.255	0.0369	0.009
pufa	PUFA [mmol/L]	0.0349	0.0261	0.0437	6.00E-15	0.0219	-0.00585	0.0497	0.012
pufafa	PUFA [%]	-0.237	-0.262	-0.211	1.00E-71	-0.149	-0.259	0.0385	0.008
mufa	MUFA [mmol/L]	0.0731	0.0675	0.0787	2.00E-145	0.0422	0.0113	0.073	0.007
mufafa	MUFA [%]	0.233	0.216	0.25	2.00E-159	0.135	0.0179	0.252	0.02
sfa	Saturated fatty acids [mmol/L]	0.0651	0.0592	0.071	3.00E-102	0.412	0.00756	0.0749	0.02
sfafa	Saturated fatty acids [%]	0.0552	0.0226	0.0878	0.0009	0.0271	-0.179	0.234	0.78
	Double bonds/ Fatty acid	-0.00299	-0.00369	-0.00228	9.00E-17	-0.00266	-0.00543	0.00011	0.06
	Methylene groups/ Fatty acid	0.00743	0.00477	0.0101	5.00E-08	0.0133	0.0013	3.253	0.03
falen	Fatty acid chain length	-0.00767	-0.0132	-0.00212	0.007	0.0021	-0.0124	0.0166	0.078
glc	Glucose [mmol/L]	0.0104	0.00562	0.0152	2.00E-05	0.0175	-0.00319	0.0382	0.1
lac	Lactate [mmol/L]	0.00797	0.0055	0.0104	3.00E-10	0.00561	-0.00924	0.0205	0.46
pyr	Pyruvate [µmol/l]	0.000701	0.00046	0.00095	2.00E-08	0.000516	-0.00035	0.00138	0.24
cit	Citrate [µmol/l]	-0.511	-0.747	-0.274	2.00E-05	-0.616	-2.06	0.824	0.4
glol	Glycerol [µmol/l]	1.85	1.3	2.4	6.00E-11	0.364	-0.873	1.6	0.56
ala	Alanine [µmol/l]	2.84	2.3	3.39	1.00E-24	1.09	-1.11	3.3	0.33
gln	Glutamine [µmol/l]	-2.52	-3.45	-1.59	1.00E-07	0.309	-2.41	3.03	0.82
	Glycine [µmol/l]	-0.818	-1.28	-0.355	0.0005	0.957	-1.07	2.99	0.36
his	Histidine [µmol/l]	0.143	-0.0276	0.313	0.1	0.0927	-0.356	0.542	0.69
	Homocysteine [µmol/l]	0.0236	0.00063	0.0465	0.04	0.00511	-0.214	0.224	0.96
ile	Isoleucine [µmol/l]	1.13	1.03	1.24	2.00E-105	1.03	0.594	1.47	4.00E-06
leu	Leucine [µmol/l]	1.35	1.27	1.43	7.00E-249	1.29	0.748	1.82	3.00E-06
val	Valine [µmol/l]	2.14	1.99	2.29	4.00E-164	2.22	1.15	3.29	5.00E-05
phe	Phenylalanine [µmol/l]	1.15	1.09	1.21	2.00E-292	0.974	0.35	1.6	0.002
tyr	Tyrosine [µmol/l]	0.77	0.678	0.861	1.00E-60	0.787	0.423	1.15	2.00E-05
ace	Acetate [µmol/l]	-0.213	-0.268	-0.159	2.00E-14	-0.0188	-0.388	0.351	0.92
acace	log Acetoacetate [µmol/l]	-0.00751	-0.0102	-0.00485	3.00E-08	-0.00538	-0.0236	0.0128	0.0128
