exposure	outcome	id.exposure	id.outcome	samplesize	SNP	b	se	p
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs10195252	-0.210245624277255	0.068906977672836	0.00227965561293585
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs10245353	-0.255681748437093	0.0779193296407738	0.00103306023759842
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs10804591	-0.250172255796323	0.0776373332299147	0.00127157466966149
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs10842707	-0.235929934669501	0.0772615313320979	0.00226073138162911
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs10919388	-0.247469619180378	0.0777115466588281	0.00145022370874755
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs10991437	-0.257617242438342	0.0766994670881815	0.000782851262692773
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs11231693	-0.244842384201786	0.0774198978558159	0.00156407154513991
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs12143789	-0.238018015953313	0.0761367181812551	0.00177085762112496
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs12489828	-0.251948852370502	0.0777528057573981	0.00119369342630289
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs12608504	-0.230582109585623	0.0747290302221646	0.00203158229155917
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs12679556	-0.230799389573948	0.0753124319615015	0.00217991187968394
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs1294410	-0.273903472485154	0.0754223635353675	0.000281675013661289
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs1385167	-0.263026737783009	0.0752340973218967	0.00047209268278047
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs1440372	-0.256676512531867	0.0770473648868848	0.000864066283078833
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs1443512	-0.254230079772793	0.0775866310393617	0.00105018475023999
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs1569135	-0.25832293341102	0.0767310685025389	0.000761005598466404
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs17451107	-0.248423037296773	0.0779165654958588	0.00143101482048189
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs17819328	-0.253379561218032	0.0774306907567907	0.00106661152819342
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs1936805	-0.226450413364463	0.0791403790218374	0.00421805929518836
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs224333	-0.259752270550605	0.0760869965212137	0.000640435574534092
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs2294239	-0.244383565085715	0.0778814256316171	0.00170167097204391
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs2371767	-0.266338580342629	0.0774638670567761	0.000585530448810353
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs2645294	-0.251221552744091	0.0785682633655113	0.00138627282760224
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs2820443	-0.235578413204777	0.0780496132758155	0.00254183526145667
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs303084	-0.254526959113014	0.0770764414197646	0.000959068630247786
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs4081724	-0.250335464020404	0.0779502084507713	0.00132053583108665
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs459193	-0.275100180270513	0.0716679434833384	0.000123768669437631
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs4646404	-0.249193554006868	0.0780640595815467	0.00141209418682427
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs4765219	-0.245081292593567	0.0781080687339508	0.0017026712224717
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs6090583	-0.252130418382212	0.0776037894881621	0.00115834005927219
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs7705502	-0.25016059649398	0.0779959038602588	0.00133961308998378
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs8030605	-0.246454231915762	0.0776123885777164	0.0014960448313661
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	NA	rs8042543	-0.246573140288814	0.0776540228110418	0.00149692814407164
