exposure	outcome	id.exposure	id.outcome	samplesize	SNP	b	se	p
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs10195252	0.0986603967465532	0.0706626322862895	0.162649038434541
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs10245353	0.0962771632845378	0.0723903797504517	0.183527564500934
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs10804591	0.0783783107875866	0.0732603684773425	0.284682496323717
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs10842707	0.0836820065766026	0.0737980553275714	0.256822901776123
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs10919388	0.080978012917169	0.0732463784050344	0.268918507988422
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs10991437	0.0671575419949242	0.0715185312172197	0.347718962577097
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs11231693	0.0884072265883177	0.0720763109135411	0.219981193634785
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs12143789	0.0689259166152441	0.0726605092480462	0.342822987844287
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs12489828	0.0701230830914645	0.0730539632948435	0.337115304351743
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs12608504	0.0769326890679664	0.0733548497506118	0.294281959090325
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs12679556	0.0664521984811554	0.0725371706070824	0.35960796619491
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs1294410	0.0646757175845403	0.073295647244012	0.377563202252323
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs1385167	0.0579185375191865	0.0702022949460412	0.409358294101522
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs1440372	0.0846736707773775	0.0728249416029624	0.244950622020066
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs1443512	0.0646811307125372	0.0724722641525545	0.372127691393828
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs1569135	0.0784846959844098	0.0733390389104891	0.284546129131753
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs17451107	0.0686255802878493	0.0730258579480078	0.347349111539744
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs17819328	0.0629882779317299	0.071138179789018	0.37592173112309
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs1936805	0.0947195841199547	0.0750776437590892	0.207084946023163
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs224333	0.0693398081021223	0.0724445886049114	0.338495241030069
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs2294239	0.0667556684741001	0.0727474658891162	0.358809645008059
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs2371767	0.073366871190314	0.0741050561755015	0.322155218668729
