exposure	outcome	id.exposure	id.outcome	samplesize	SNP	b	se	p
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs10195252	-0.631851851851852	0.400296296296296	0.114459878774112
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs10245353	-0.378685714285714	0.3426	0.269017057742662
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs10804591	0.02368	0.5252	0.964037496551252
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs10842707	-0.0879375	0.3580625	0.805997618899778
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs10919388	-0.0992916666666667	0.487916666666667	0.838743244570736
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs10991437	0.858096774193548	0.597677419354839	0.151082341576741
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs11231693	-0.497926829268293	0.499024390243902	0.318376065727177
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs12143789	0.499875	0.48475	0.302446266907859
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs12489828	0.386608695652174	0.44804347826087	0.388202295437942
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs12608504	0.104181818181818	0.492136363636364	0.832346557531045
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs12679556	0.528259259259259	0.441814814814815	0.231830187780694
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs1294410	0.392645161290323	0.345483870967742	0.255744045904353
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs1385167	0.906965517241379	0.449586206896552	0.0436606752898388
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs1440372	-0.291916666666667	0.492625	0.553466419553949
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs1443512	0.537142857142857	0.41475	0.195285625028767
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs1569135	0.0243333333333333	0.494809523809524	0.960778102914749
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs17451107	0.408884615384615	0.423346153846154	0.334124289484717
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs17819328	0.833238095238095	0.497619047619048	0.0940422401815039
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs1936805	-0.118906976744186	0.239906976744186	0.620149947418825
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs224333	0.5716	0.5365	0.286684080624369
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs2294239	0.47964	0.42364	0.257555527395074
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs2371767	0.173277777777778	0.337111111111111	0.607246460153871
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs2645294	-0.027741935483871	0.353161290322581	0.937388044941786
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs2820443	-0.125571428571429	0.351914285714286	0.721223641463211
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs303084	0.196434782608696	0.603	0.744604059142495
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs4081724	0.0595428571428571	0.5466	0.913255517034524
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs459193	0.566730769230769	0.429692307692308	0.18719508814178
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs4646404	-0.548037037037037	0.422407407407407	0.194488979140147
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs4765219	0.00571428571428571	0.399035714285714	0.988574495066493
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs6090583	0.900181818181818	0.475136363636364	0.0581486340100314
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs7705502	0.0752592592592593	0.387555555555556	0.846027423954655
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs8030605	-0.459433333333333	0.595033333333333	0.440047143756661
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs8042543	-0.6815	0.450115384615385	0.130011579926863
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs905938	0.3916	0.4956	0.42943821649936
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs979012	-0.648925925925926	0.417777777777778	0.120356222318915
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs998584	0.226953488372093	0.253558139534884	0.370747130619069
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	rs9991328	-0.897473684210526	0.539578947368421	0.096255357308269
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	All - Inverse variance weighted	0.0774559805625921	0.0716337015659943	0.279573253278054
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetoacetate || id:838	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	838	19260	All - MR Egger	-0.250096246614209	0.33545840811141	0.460925702704136
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetate || id:839	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	839	24747	rs10195252	-0.213148148148148	0.356037037037037	0.549393987068325
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetate || id:839	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	839	24747	rs10245353	-0.448542857142857	0.3132	0.152106856717687
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetate || id:839	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	839	24747	rs10804591	-0.53292	0.48572	0.27256475641998
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetate || id:839	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	839	24747	rs10842707	-0.26003125	0.3283125	0.428346912328938
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetate || id:839	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	839	24747	rs10919388	-0.0792083333333333	0.456125	0.862136697135927
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetate || id:839	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	839	24747	rs10991437	0.68141935483871	0.54341935483871	0.209861079456812
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetate || id:839	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	839	24747	rs11231693	-0.636634146341463	0.455536585365854	0.162248907243966
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetate || id:839	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	839	24747	rs12143789	0.126583333333333	0.444666666666667	0.775896850237988
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetate || id:839	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	839	24747	rs12489828	0.44195652173913	0.402391304347826	0.272062498865364
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetate || id:839	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	839	24747	rs12608504	-0.230136363636364	0.456818181818182	0.614415214322945
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetate || id:839	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	839	24747	rs12679556	0.292111111111111	0.397518518518518	0.462439083673723
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetate || id:839	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	839	24747	rs1294410	-0.0148709677419355	0.311451612903226	0.961917652099493
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetate || id:839	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	839	24747	rs1385167	0.856931034482759	0.433068965517241	0.0478452479915814
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetate || id:839	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	839	24747	rs1440372	0.273	0.437	0.532158809984949
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetate || id:839	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	839	24747	rs1443512	-0.55775	0.390035714285714	0.152717807489369
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetate || id:839	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	839	24747	rs1569135	-0.0210952380952381	0.44247619047619	0.961974924046063
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetate || id:839	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	839	24747	rs17451107	0.567346153846154	0.3775	0.132863873918775
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetate || id:839	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	839	24747	rs17819328	0.836238095238095	0.447619047619048	0.0617353846360159
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Acetate || id:839	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	839	24747	rs1936805	-0.284604651162791	0.21506976744186	0.185731260814094
