exposure	outcome	id.exposure	id.outcome	samplesize	SNP	b	se	p
Shungin WHR EU sex combined 26 SNPs clumped	Acetoacetate || id:838	Shungin WHR EU sex combined 26 SNPs clumped	838	19260	rs10195252	0.181365404552208	0.108570954284394	0.0948248031385183
Shungin WHR EU sex combined 26 SNPs clumped	Acetoacetate || id:838	Shungin WHR EU sex combined 26 SNPs clumped	838	19260	rs10245353	0.179759908709081	0.109639688731654	0.101098468415284
Shungin WHR EU sex combined 26 SNPs clumped	Acetoacetate || id:838	Shungin WHR EU sex combined 26 SNPs clumped	838	19260	rs10842707	0.157713517479684	0.109959150522543	0.151488984584982
Shungin WHR EU sex combined 26 SNPs clumped	Acetoacetate || id:838	Shungin WHR EU sex combined 26 SNPs clumped	838	19260	rs1106529	0.135491386264243	0.108719163200813	0.212672192005136
Shungin WHR EU sex combined 26 SNPs clumped	Acetoacetate || id:838	Shungin WHR EU sex combined 26 SNPs clumped	838	19260	rs12679556	0.119456882651874	0.108972128387658	0.272984693052173
Shungin WHR EU sex combined 26 SNPs clumped	Acetoacetate || id:838	Shungin WHR EU sex combined 26 SNPs clumped	838	19260	rs1294410	0.118490811835004	0.109890100614384	0.280914852023258
Shungin WHR EU sex combined 26 SNPs clumped	Acetoacetate || id:838	Shungin WHR EU sex combined 26 SNPs clumped	838	19260	rs1440372	0.158837166769332	0.108398976609929	0.142838718362092
Shungin WHR EU sex combined 26 SNPs clumped	Acetoacetate || id:838	Shungin WHR EU sex combined 26 SNPs clumped	838	19260	rs1443512	0.114906968007706	0.109601775843193	0.294452394573674
Shungin WHR EU sex combined 26 SNPs clumped	Acetoacetate || id:838	Shungin WHR EU sex combined 26 SNPs clumped	838	19260	rs1569135	0.148950042430609	0.109814452884837	0.174978540029953
Shungin WHR EU sex combined 26 SNPs clumped	Acetoacetate || id:838	Shungin WHR EU sex combined 26 SNPs clumped	838	19260	rs17451107	0.12452773241551	0.109178845400573	0.254042742225232
Shungin WHR EU sex combined 26 SNPs clumped	Acetoacetate || id:838	Shungin WHR EU sex combined 26 SNPs clumped	838	19260	rs1936805	0.191335985895438	0.115709496094843	0.0982109860299933
Shungin WHR EU sex combined 26 SNPs clumped	Acetoacetate || id:838	Shungin WHR EU sex combined 26 SNPs clumped	838	19260	rs2294239	0.121936256466673	0.108661779044941	0.261793029724742
Shungin WHR EU sex combined 26 SNPs clumped	Acetoacetate || id:838	Shungin WHR EU sex combined 26 SNPs clumped	838	19260	rs2371767	0.135719778080698	0.108678268425315	0.211730301428024
Shungin WHR EU sex combined 26 SNPs clumped	Acetoacetate || id:838	Shungin WHR EU sex combined 26 SNPs clumped	838	19260	rs2820443	0.157731525789956	0.109237177398706	0.148756894423863
Shungin WHR EU sex combined 26 SNPs clumped	Acetoacetate || id:838	Shungin WHR EU sex combined 26 SNPs clumped	838	19260	rs4081724	0.142895667364701	0.107759676932967	0.184820223154983
Shungin WHR EU sex combined 26 SNPs clumped	Acetoacetate || id:838	Shungin WHR EU sex combined 26 SNPs clumped	838	19260	rs459193	0.113415868382592	0.109868393460964	0.301937032361316
Shungin WHR EU sex combined 26 SNPs clumped	Acetoacetate || id:838	Shungin WHR EU sex combined 26 SNPs clumped	838	19260	rs714515	0.120091574944019	0.108539971971682	0.26854166721356
Shungin WHR EU sex combined 26 SNPs clumped	Acetoacetate || id:838	Shungin WHR EU sex combined 26 SNPs clumped	838	19260	rs998584	0.124216345847341	0.110985000568756	0.263047396117409
Shungin WHR EU sex combined 26 SNPs clumped	Acetoacetate || id:838	Shungin WHR EU sex combined 26 SNPs clumped	838	19260	All	0.141233921805895	0.106443942087325	0.18456210760899
Shungin WHR EU sex combined 26 SNPs clumped	Acetate || id:839	Shungin WHR EU sex combined 26 SNPs clumped	839	24747	rs10195252	-0.062571416151385	0.0994219287710902	0.529118461056554
