exposure	outcome	id.exposure	id.outcome	samplesize	SNP	b	se	p
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs10195252	1.38648888888889	0.264209259259259	1.54016273182463e-07
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs10245353	-0.0271395428571429	0.258327142857143	0.916329141269008
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs10783615	-0.00545863888888889	0.291969444444444	0.9850836789213
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs10804591	0.3517064	0.3438324	0.306354802140117
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs10842707	0.150050625	0.263845625	0.569555585310361
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs10919388	0.148135	0.334085833333333	0.657473532013179
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs10991437	-0.094251935483871	0.352267741935484	0.789039819373107
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs1106529	0.179724857142857	0.227740285714286	0.430015076187064
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs11231693	0.386758536585366	0.375007317073171	0.302383294116014
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs1128249	1.42846071428571	0.256532142857143	2.57163121675649e-08
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs12143789	0.651425	0.386619166666667	0.0920026928463148
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs12489828	0.194553043478261	0.306221304347826	0.525210097959773
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs12608504	0.587827272727273	0.329386818181818	0.0743244685833168
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs12679556	0.51567037037037	0.306948888888889	0.0929597009671944
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs12692738	1.25878076923077	0.326410384615385	0.000115052186377023
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs1294410	-0.247961612903226	0.233178387096774	0.287601144748028
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs13083798	0.07493	0.303683913043478	0.805111916726334
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs1358980	0.536371794871795	0.181936923076923	0.00319713426575811
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs1385167	-0.009291	0.355355172413793	0.97914114802102
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs1440372	-0.2002975	0.332938333333333	0.547436831933552
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs1443512	-0.117646071428571	0.304105714285714	0.698860500879307
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs1569135	0.255577142857143	0.336068095238095	0.446960469454536
Shungin WHRadjBMI EU sex combined 53 SNPs	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	NA	rs17451107	-0.0241613076923077	0.297336153846154	0.935235794385495
